PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Seven & I Holdings,"$9,500 ","$2,000 ","$7,500 "
ABB Group,Switzerland/Asea Brown Boveri,"$18,000 ","$8,000 ","$10,000 "
Accenture (Accenture),UK/Accenture plc,"$347,750 ","$189,750 ","$158,000 "
Accenture (Accenture),UK/Accenture plc,$0 ,$0 ,$0 
ACE INA,Switzerland/ACE Ltd,"$171,500 ","$82,500 ","$89,000 "
Acuson Corp (Siemens AG),Germany/Siemens AG,$0 ,$0 ,$0 
AEGON USA,Netherlands/Aegon NV,"$210,497 ","$107,997 ","$102,500 "
Agrium US,Canada/Agrium Inc,"$1,500 ",$0 ,"$1,500 "
Air Liquide America,France/L'Air Liquide SA,"$11,000 ","$8,000 ","$3,000 "
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$58,500 ","$28,000 ","$30,500 "
Alcatel-Lucent Holding (Alcatel-Lucent),France/Alcatel-Lucent,"$8,500 ","$4,000 ","$4,500 "
Alcon Laboratories (Nestle SA),Switzerland/Nestle,"$28,496 ","$1,000 ","$27,496 "
Allianz of America (Allianz),Germany/Allianz AG Holding,"$80,050 ","$28,600 ","$51,450 "
American Medical Response (Onex Corp),Canada/Onex Corp,"$21,050 ","$18,250 ","$2,800 "
Anheuser-Busch,Belgium/Anheuser-Busch InBev,"$1,505,897 ","$853,223 ","$652,674 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$42,500 ","$28,500 ","$14,000 "
Arcadis US,Netherlands/Arcadis NV,"$72,250 ","$42,250 ","$30,000 "
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$54,500 ","$29,000 ","$25,500 "
Arch Capital Group (US),UK/Arch Capital Group,"$13,200 ","$10,900 ","$2,300 "
AREVA Inc,France/Areva Group,"$95,000 ","$45,500 ","$49,500 "
Arkema Inc,France/Arkema,"$26,500 ","$10,500 ","$16,000 "
Armor Holdings (BAE Systems),UK/BAE Systems,"$25,426 ","$6,600 ","$18,826 "
Astellas US,Japan/Astellas Pharma,$0 ,$0 ,$0 
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$544,500 ","$260,500 ","$284,000 "
Austin Nichols & Co,France/Pernod Ricard SA,"$14,500 ","$10,000 ","$4,500 "
Aviva USA,UK/Aviva PLC,$500 ,$0 ,$500 
AXA Equitable Life Insurance (AXA),France/AXA,"$216,000 ","$137,000 ","$79,000 "
AXIS Specialty US Services (AXIS Capital),UK/AXIS Captial,$0 ,$0 ,$0 
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$1,000 ","$1,000 ",$0 
Babcock & Wilcox (McDermott International),Panama/McDermott International,"$244,000 ","$129,000 ","$115,000 "
Bacardi USA,UK/Bacardi Ltd,"$18,000 ","$7,500 ","$10,500 "
BAE Systems (BAE Systems),UK/BAE Systems,"$712,250 ","$313,500 ","$398,750 "
Ballard Power Systems,Canada/Ballard Power Systems,"$1,700 ","$1,700 ",$0 
BancWest Corp (BNP Paribas),France/BNP Paribas,"$3,300 ","$3,300 ",$0 
Barclays Group US,UK/Barclays plc,"$100,000 ","$53,000 ","$47,000 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$63,800 ","$29,500 ","$34,300 "
BASF Corp,Germany/BASF SE,"$307,000 ","$109,000 ","$198,000 "
Bayer Corp,Germany/Bayer AG,"$271,500 ","$118,000 ","$153,500 "
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$125,500 ","$9,500 ","$116,000 "
BMO Harris Bank,Canada/Bank of Montreal,$0 ,$0 ,$0 
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$87,800 ","$33,000 ","$54,800 "
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$4,500 ","$3,000 ","$1,500 "
BP North America,UK/BP PLC,"$198,500 ","$81,500 ","$117,000 "
Bridgestone Americas,Japan/Bridgestone Corp,"$113,000 ","$56,000 ","$57,000 "
Burson-Marsteller (WPP Group),UK/WPP Group,"$58,500 ","$35,500 ","$21,500 "
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$23,250 ","$4,250 ","$19,000 "
CalPortland Co,Japan/Taiheiyo Cement Co,"$204,500 ","$53,000 ","$151,500 "
Case New Holland,Italy/Fiat SPA,"$60,000 ","$15,000 ","$45,000 "
CEMEX Inc,Mexico/CEMEX SAB de CV,"$178,100 ","$68,600 ","$109,500 "
CGI Technologies & Solutions,Canada/CGI Group,"$21,000 ","$14,000 ","$7,000 "
Ciba Inc,Switzerland/Ciba Specialty Chemicals Holding,"$14,900 ","$5,000 ","$9,900 "
Citizens Financial Group (Royal Bank of Scotland),UK/Royal Bank of Scotland Group,"$155,900 ","$129,650 ","$26,250 "
Cobham Management Services,UK/Cobham PLC,$0 ,$0 ,$0 
Commerce Bancorp,Canada/Toronto-Dominion Bank,"$35,000 ","$25,000 ","$10,000 "
Cooper Industries,Ireland/Cooper Industries Ltd,"$156,700 ","$77,000 ","$79,700 "
Covidien US,UK/Covidien Ltd,"$111,500 ","$45,000 ","$66,500 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$517,000 ","$274,500 ","$242,500 "
CSL Behring,Australia/CSL Ltd,"$16,750 ","$5,500 ","$11,250 "
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$33,900 ","$14,600 ","$19,300 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$7,400 ","$7,400 ",$0 
DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$15,000 ","$7,000 ","$8,000 "
Diageo North America (Diageo PLC),UK/Diageo PLC,"$103,500 ","$69,500 ","$34,000 "
DRS Technologies,Italy/Finmeccanica SpA,"$304,900 ","$123,500 ","$181,400 "
E ON US,Germany/Eon AG,"$21,000 ","$6,000 ","$15,000 "
EADS North America,Netherlands/European Aeronautic Defence & Space Co,"$149,700 ","$66,600 ","$83,100 "
