likert_survey,,,,,,,,,,,,,
response_id,exp_profession,exp_flu_vax,exp_gender,exp_race,exp_ethnicity,exp_age_bin,exp_already_vax,resp_safety,resp_confidence_science,resp_concern_safety,resp_feel_safe_at_work,resp_will_recommend,resp_trust_info
1,1,1,0,2,2,25,1,5,2,2,1,1,1
2,1,1,1,2,2,20,1,5,1,1,1,1,1
3,,,,,,,,,,,,,
4,1,1,0,5,2,25,1,5,1,1,1,1,1
5,1,1,0,5,2,25,1,5,1,1,1,1,1
6,1,1,1,5,2,25,1,5,1,1,1,1,1
7,1,1,1,5,2,25,1,5,1,1,1,1,2
8,1,1,0,5,2,25,1,4,2,4,1,1,2
9,1,1,0,5,2,20,1,4,2,4,1,1,2
10,1,1,1,2,2,20,1,5,1,1,1,1,1
11,1,1,0,5,2,20,1,5,1,2,1,1,1
12,1,1,1,5,2,25,1,5,2,2,1,1,1
13,1,1,0,2,2,25,1,5,1,3,1,1,1
14,1,1,1,5,2,25,1,5,1,1,1,1,1
15,1,1,0,5,2,25,1,5,1,3,1,1,1
16,1,1,0,5,2,25,1,5,1,1,1,1,1
17,1,1,0,5,2,30,1,3,4,4,3,3,4
18,1,1,0,2,2,20,1,5,1,4,2,1,2
19,1,1,0,5,2,20,1,5,1,1,1,1,1
20,1,1,0,5,2,25,1,5,1,4,1,1,2
21,1,1,1,2,2,25,1,5,1,1,1,1,1
22,1,1,3,5,2,25,1,5,1,2,1,1,1
23,1,1,0,5,2,25,1,5,1,3,1,1,2
24,1,1,0,5,2,20,1,4,1,3,1,1,1
25,1,1,0,5,2,25,1,5,1,1,1,1,1
26,1,1,1,2,2,25,1,5,1,1,1,1,1
27,1,1,1,5,2,20,1,5,1,4,2,1,1
28,1,1,1,5,2,25,1,4,2,2,1,1,1
29,1,1,1,5,2,25,1,5,1,1,1,1,1
30,1,1,0,5,2,25,1,5,1,3,1,1,1
31,1,1,3,5,1,25,1,5,1,1,1,1,1
32,1,1,1,2,2,30,1,5,2,4,1,1,2
33,1,1,0,5,2,25,1,5,2,2,1,1,2
34,1,1,0,2,2,25,1,5,2,4,1,1,1
35,1,1,0,2,2,25,1,5,5,1,1,1,1
36,1,1,0,2,2,25,1,4,2,3,1,1,3
37,1,1,0,5,,25,1,5,1,4,1,1,1
38,1,1,0,5,2,30,1,5,1,4,1,1,1
39,1,1,0,5,2,20,1,5,1,3,2,1,1
40,1,1,0,5,2,30,1,3,2,2,2,3,2
41,1,1,0,3,,25,1,4,2,4,1,2,2
42,1,1,1,5,2,25,1,5,1,1,1,1,1
43,1,0,0,2,2,20,1,5,2,4,1,1,2
44,1,1,0,5,2,20,1,5,5,1,1,1,1
45,1,1,0,5,2,25,1,5,1,2,1,1,1
46,1,1,1,5,2,30,1,5,2,3,1,1,1
47,1,1,0,5,2,30,1,5,1,2,1,1,1
48,1,1,0,5,2,25,1,5,1,2,1,1,1
49,1,1,0,5,2,25,1,5,1,1,1,1,1
50,1,0,0,2,2,25,1,5,1,1,1,1,1
51,1,1,0,5,2,25,0,3,5,3,5,5,4
52,1,1,0,5,1,25,1,5,2,2,1,1,2
53,1,1,1,,,25,1,4,2,4,2,2,2
54,1,1,0,5,2,25,1,5,2,3,1,1,2
55,1,1,1,5,2,25,1,5,1,1,1,1,1
56,1,1,0,5,2,25,1,5,1,2,1,1,1
57,1,1,0,2,2,20,1,5,2,2,1,1,1
58,1,1,0,5,2,25,1,5,1,1,2,1,2
59,1,1,0,5,2,25,1,5,1,2,1,1,1
60,1,1,0,5,2,25,1,5,1,1,2,1,1
61,1,1,0,,1,20,1,5,2,3,2,1,1
62,1,1,0,5,2,25,1,5,1,1,1,1,1
63,1,1,0,5,1,30,1,5,1,2,1,1,2
64,1,1,0,5,2,25,1,5,1,1,2,1,1
65,1,1,1,5,2,25,1,5,1,3,1,1,2
66,1,1,1,5,2,25,1,5,1,1,2,1,1
67,1,1,1,5,,30,1,5,1,3,2,1,2
68,1,1,0,5,2,25,1,5,1,2,1,1,1
69,1,1,0,5,2,25,1,5,1,2,1,1,2
