PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
7-Eleven,Japan/Ito-Yokado,"$8,500 ","$1,500 ","$7,000 "
ABB Group,Switzerland/Asea Brown Boveri,"$46,000 ","$17,000 ","$28,500 "
Accenture,UK/Accenture plc,"$75,984 ","$23,000 ","$52,984 "
ACE INA,UK/ACE Group,"$38,500 ","$12,500 ","$26,000 "
Acuson Corp (Siemens AG),Germany/Siemens AG,"$2,000 ","$2,000 ",$0 
Adtranz (DaimlerChrysler),Germany/DaimlerChrysler AG,"$10,500 ","$10,000 ",$500 
AE Staley Manufacturing (Tate & Lyle),UK/Tate & Lyle,"$24,000 ","$10,000 ","$14,000 "
AEGON USA (AEGON NV),Netherlands/Aegon NV,"$58,250 ","$10,500 ","$47,750 "
AIM Management Group,UK/AMVESCAP,"$25,000 ","$10,000 ","$15,000 "
Air Liquide America,France/L'Air Liquide SA,$0 ,$0 ,$0 
Alcatel USA,France/Alcatel,"$21,000 ","$6,000 ","$15,000 "
Aliant Communications,Canada/BCE,"$2,000 ","$1,000 ","$1,000 "
Allfirst Financial,Ireland/Allied Irish Banks,"$11,900 ","$6,950 ","$4,950 "
Allied Domecq Spirits & Wine,UK/Allied Domecq,"$41,800 ","$6,200 ","$35,600 "
AMP Inc (Tyco International),Ireland/Tyco International,"$17,750 ","$1,250 ","$16,500 "
Anglogold Ltd,UK/Anglo American PLC,"$14,000 ","$4,000 ","$10,000 "
APL Ltd,Singapore/Neptune Orient Lines Ltd,"$20,200 ","$5,450 ","$14,750 "
Aqua-Chem Inc,France/Lyonnaise des Eaux-Dumez Group,"$1,639 ",$0 ,"$1,639 "
ASARCO LLC,Mexico/Nueva Grupo Mexico,"$20,735 ","$2,000 ","$18,735 "
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca,"$131,155 ","$28,250 ","$102,905 "
Atlantic Richfield (BP),UK/BP PLC,"$106,454 ","$30,979 ","$75,475 "
ATOFINA Chemicals (TotalFinaElf),France/TOTAL FINA ELF,"$25,650 ","$5,650 ","$20,000 "
ATOFINA Petrochemicals (TotalFinaElf),France/TotalFinaElf,"$25,000 ","$9,250 ","$15,750 "
Aventis CropScience (Aventis),France/Aventis,"$23,500 ","$12,500 ","$11,000 "
Aventis Pasteur USA (Aventis),France/Aventis,"$107,500 ","$54,500 ","$53,000 "
Aventis Pharmaceuticals (Aventis),France/Aventis,"$18,000 ","$1,500 ","$16,500 "
Aventis Pharmaceuticals Products (Aventis),France/Aventis,"$48,700 ","$7,500 ","$41,200 "
Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$500 ,$0 ,$500 
Bacardi USA (Bacardi Ltd),UK/Bacardi Ltd,$0 ,$0 ,$0 
BAE Systems North America (BAE Systems),UK/BAE Systems,"$243,639 ","$98,580 ","$145,059 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$73,250 ","$20,075 ","$53,175 "
BASF Corp,Germany/BASF Group,"$219,250 ","$31,500 ","$185,750 "
Bayer Corp,Germany/Bayer AG,"$245,500 ","$57,500 ","$188,000 "
Bear Creek Corp (Yamanouchi Consumer),Japan/Yamanouchi Consumer,"$4,500 ","$1,500 ","$3,000 "
BHP Holdings,Australia/Broken Hill Proprietary,"$4,250 ","$1,500 ","$2,750 "
Bird-Johnson Co (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$6,500 ","$4,000 ","$2,500 "
