title,author,date,abstract,column,url
All the world’s a stage,Anna Garziera,2024-02-22,"If we acted exactly the same around all of our acquaintances, we’d have very few colleagues and even fewer friends.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/022124-garziera-world-stage
Words that matter: For Alexei Navalny,Carol Apollonio,2024-02-22,"In some places, the Word matters. It lives in a tangible physical world where when you speak your truth, you will be exiled; dispossessed; brutally beaten; shot dead on the street ...",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/022124-apollonio-words-matter-navalny
Which would you save: Friend or romantic partner?,Jess Jiang,2024-02-22,"Love shouldn’t be hierarchical, with romantic love as the pinnacle transcending other types of love.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/022124-jiang-platonic-romantic-love
Happiness is not what you’re looking for,Paul Dilly,2024-02-21,"We hinge our contentment on what we think we need, rather than what we have. The world doesn’t make us unhappy. We do. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/022024-dilly-dont-look-for-happiness
Closing Duke's Herbarium: A fear of long-term climate commitment?,Matthew Johnson,2024-02-21,"Without the Herbarium, and support for future faculty in biodiversity research, Duke’s reputation in this area will wither on the vine.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2024/02/022024-johnson-closing-duke-herbarium
CS Majors launch 'ambiguous and labelless relationship' pact ,Monday Monday,2024-02-20,"Unlike traditional Marriage Pact tests, the Blue Devil Situationship Match (BDSM) Program involves open-ended questions analyzed by AI to better match you to the perfect non-exclusive, uncommunicative, not-committal partner.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/021924-monday-monday-relationship-pact
The fear of being single,Heidi Smith,2024-02-20,But it truly is better to be single than to be in a bad relationship. Because being single doesn’t mean being alone unless you choose to make it that way.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/021924-smith-being-single-fear
Save the Duke Herbarium,Henry Van T. Cotter,2024-02-17,"The Duke Herbarium is such an asset, and its loss would be to the detriment of Duke’s reputation as a leading scientific research university.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2024/02/021624-cotter-save-duke-herbarium
What Duke can learn from retiring ex-president Ricardo Lagos,Robert Carlson,2024-02-17,"In Duke’s 100-year history, only two alumni have gone on to become heads of state. One is ... Ricardo Lagos, a largely overlooked alumnus whose life should inspire Duke students, faculty, staff and alumni throughout the next 100 years.",GUEST COLUMNS,https://www.dukechronicle.com/article/2024/02/021624-carlson-ricardo-lagos
"Love, love",Gabrielle Mollin,2024-02-16,"Somehow in a culture that is constantly expressing love, from the most serious of romantic partners to best friends to valued material goods, we have denied the legitimacy of love beyond romance.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/021524-mollin-love-valentines-day
The merits and pitfalls of lines,Nathan Luzum,2024-02-16,"There are days when I stroll down the Bryan Center Plaza, see a bunch of people filing up to a table, and figure why not? I’ll get in line because it’s probably something pretty good, like Monuts. Even a clicky pen is passable.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/021524-luzum-merits-pitfalls-lines
Do you really love me?,Advikaa Anand,2024-02-16,I’ve always been disturbed by how casually people will say “I love you.”,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2024/02/021524-anand-do-you-really-love-me
